,Household,L1,L2
0,Household 1,0,0
1,Household 2,1,1
2,Household 3,1,0
3,Household 4,0,0
4,Household 5,0,0
5,Household 6,0,0
6,Household 7,1,0
7,Household 8,0,1
8,Household 9,0,0
9,Household 10,0,2
10,Household 11,1,1
11,Household 12,0,0
12,Household 13,0,0
13,Household 14,1,1
14,Household 15,1,1
15,Household 16,0,1
16,Household 17,0,1
17,Household 18,2,1
18,Household 19,0,1
19,Household 20,0,1
20,Household 21,1,0
21,Household 22,0,1
22,Household 23,2,0
23,Household 24,0,2
24,Household 25,0,1
25,Household 26,0,1
26,Household 27,1,1
27,Household 28,1,1
28,Household 29,0,0
29,Household 30,3,3
30,Household 31,0,0
31,Household 32,1,0
32,Household 33,2,0
33,Household 34,0,4
34,Household 35,0,1
35,Household 36,0,1
36,Household 37,1,0
37,Household 38,0,1
38,Household 39,0,3
39,Household 40,1,1
40,Household 41,1,1
41,Household 42,0,1
42,Household 43,0,2
43,Household 44,2,1
44,Household 45,0,1
45,Household 46,0,2
46,Household 47,0,0
47,Household 48,0,2
48,Household 49,0,1
49,Household 50,1,1
50,Household 51,1,1
51,Household 52,1,0
52,Household 53,0,2
53,Household 54,0,2
54,Household 55,1,0
55,Household 56,0,1
56,Household 57,2,1
57,Household 58,0,1
58,Household 59,1,0
59,Household 60,1,0
60,Household 61,0,1
61,Household 62,0,1
62,Household 63,2,0
63,Household 64,0,1
64,Household 65,0,1
65,Household 66,1,0
66,Household 67,0,1
67,Household 68,0,1
68,Household 69,0,1
69,Household 70,0,1
70,Household 71,0,1
71,Household 72,0,0
72,Household 73,1,0
73,Household 74,0,0
74,Household 75,1,1
75,Household 76,0,1
76,Household 77,0,1
77,Household 78,0,1
78,Household 79,1,0
79,Household 80,0,0
80,Household 81,1,3
81,Household 82,1,0
82,Household 83,0,1
83,Household 84,0,0
84,Household 85,1,1
85,Household 86,0,1
86,Household 87,2,1
87,Household 88,0,1
88,Household 89,0,1
89,Household 90,1,0
90,Household 91,0,1
91,Household 92,1,2
92,Household 93,1,1
93,Household 94,1,0
94,Household 95,0,1
95,Household 96,1,2
96,Household 97,0,1
97,Household 98,1,1
98,Household 99,1,0
99,Household 100,0,0
100,Household 101,1,0
101,Household 102,0,0
102,Household 103,0,2
103,Household 104,0,0
104,Household 105,1,1
105,Household 106,1,0
106,Household 107,0,1
107,Household 108,0,2
108,Household 109,0,1
109,Household 110,0,1
110,Household 111,0,1
111,Household 112,0,0
112,Household 113,0,1
113,Household 114,0,2
114,Household 115,0,0
115,Household 116,1,0
116,Household 117,1,1
117,Household 118,0,1
118,Household 119,0,2
119,Household 120,0,1
120,Household 121,0,1
121,Household 122,0,1
122,Household 123,0,2
123,Household 124,0,1
124,Household 125,1,0
125,Household 126,1,0
126,Household 127,0,0
127,Household 128,0,1
128,Household 129,1,0
129,Household 130,0,1
130,Household 131,1,2
131,Household 132,0,0
132,Household 133,1,0
133,Household 134,1,2
134,Household 135,0,2
135,Household 136,0,0
136,Household 137,0,1
137,Household 138,1,0
138,Household 139,1,1
139,Household 140,0,1
140,Household 141,0,2
141,Household 142,2,0
142,Household 143,0,0
143,Household 144,0,1
144,Household 145,0,0
145,Household 146,0,2
146,Household 147,0,0
147,Household 148,0,1
148,Household 149,0,2
149,Household 150,0,2
150,Household 151,0,2
151,Household 152,0,1
152,Household 153,0,0
153,Household 154,0,1
154,Household 155,1,1
155,Household 156,0,0
156,Household 157,1,0
157,Household 158,1,3
158,Household 159,1,0
159,Household 160,0,1
160,Household 161,0,0
161,Household 162,0,1
162,Household 163,0,0
163,Household 164,0,1
164,Household 165,1,1
165,Household 166,1,0
166,Household 167,0,0
167,Household 168,0,1
168,Household 169,0,1
169,Household 170,1,0
170,Household 171,0,1
171,Household 172,0,0
172,Household 173,0,0
173,Household 174,1,1
174,Household 175,0,1
175,Household 176,1,1
176,Household 177,0,1
177,Household 178,0,0
178,Household 179,1,1
179,Household 180,0,0
180,Household 181,0,1
181,Household 182,0,0
182,Household 183,0,1
183,Household 184,1,0
184,Household 185,0,0
185,Household 186,0,1
186,Household 187,1,0
187,Household 188,0,1
188,Household 189,0,0
189,Household 190,0,2
190,Household 191,0,1
191,Household 192,1,0
192,Household 193,0,0
193,Household 194,0,1
194,Household 195,1,0
195,Household 196,0,1
196,Household 197,0,0
197,Household 198,0,1
198,Household 199,1,0
199,Household 200,1,1
